#JobTime,MS_LOC_X,MS_LOC_Y,MS_LOC_Z,SP_MAGNITUDE
#Time,DD:MM:YY:HH:MM:SS,,,
25:02:10:11:12:58,636.51,-663.28,-1548.6,0.503
25:02:10:11:13:09,595.74,-603.45,-1524.34,0.408
25:02:10:11:13:15,579.81,-548.44,-1559.61,0.497
25:02:10:11:13:18,628.03,-535.9,-1568.1,0.629
25:02:10:11:13:24,784.32,-697.11,-1619.18,0.906
25:02:10:11:13:24,784.32,-697.11,-1619.18,0.906
25:02:10:11:13:25,579.8,-530.68,-1568.74,0.481
25:02:10:11:13:27,629.57,-581.78,-1576.64,0.529
25:02:10:11:13:31,628.15,-564.24,-1568.47,0.573
25:02:10:11:13:34,635.68,-563.12,-1592.42,0.627
25:02:10:11:13:36,650.05,-616.95,-1593.33,0.563
25:02:10:11:13:36,631.58,-622.65,-1556.3,0.502
25:02:10:11:13:36,620.92,-590.76,-1580.21,0.484
25:02:10:11:13:37,544.41,-846.52,-1559.4,0.473
25:02:10:11:13:37,544.41,-846.52,-1559.4,0.473
25:02:10:11:13:39,773.02,-639.33,-1668.75,0.944
25:02:10:11:13:39,773.02,-639.33,-1668.75,0.948
25:02:10:11:13:40,612.02,-583.86,-1554.18,0.538
25:02:10:11:13:40,612.72,-521.68,-1574.49,0.48
25:02:10:11:13:41,622.28,-528.23,-1563.14,0.495
25:02:10:11:13:47,634.04,-649.49,-1511.86,0.52
25:02:10:11:13:48,608.65,-565.6,-1604.01,0.635
25:02:10:11:13:48,605.99,-670.93,-1489.24,0.438
25:02:10:11:13:49,622.35,-539.54,-1576.01,0.494
25:02:10:11:13:49,601.89,-589.09,-1530.25,0.454
25:02:10:11:13:57,638.55,-638.64,-1574.25,0.514
25:02:10:11:14:07,842.85,-752.32,-1559.88,1.033
25:02:10:11:14:07,842.85,-752.32,-1559.88,1.033
25:02:10:11:14:18,487.42,-361.75,-1550.44,0.426
25:02:10:11:14:18,487.42,-361.75,-1550.44,0.426
25:02:10:11:14:18,370.94,-597.52,-1476.35,-0.006
25:02:10:11:14:18,370.94,-597.52,-1476.35,-0.006
25:02:10:11:14:27,661.45,-601.72,-1580.76,0.589
25:02:10:11:14:28,781.51,-666.64,-1614.39,1.219
25:02:10:11:14:28,781.51,-666.64,-1614.39,1.127
25:02:10:11:14:39,630.89,-561.49,-1598.12,0.599
25:02:10:11:14:41,575.3,-450.79,-1557.13,0.542
25:02:10:11:14:41,575.3,-450.79,-1557.13,0.542
25:02:10:11:14:42,652.81,-620.06,-1653.26,0.71
25:02:10:11:14:42,609.59,-623.2,-1546.36,0.453
25:02:10:11:14:43,634.43,-683.15,-1556.67,0.508
25:02:10:11:14:59,606.6,-607.48,-1542.86,0.458
25:02:10:11:15:00,639.45,-522.46,-1662.78,0.663
25:02:10:11:15:08,648.19,-600.52,-1602.05,0.671
25:02:10:11:15:17,622.01,-578.36,-1577.43,0.671
25:02:10:11:15:18,585.77,-517.54,-1552.61,0.449
25:02:10:11:15:18,640.99,-609.46,-1579.89,0.584
25:02:10:11:15:18,620.38,-565.12,-1646.07,0.682
25:02:10:11:15:20,627.37,-618.19,-1560.48,0.606
25:02:10:11:15:21,353.96,-623.79,-1473.57,0.113
25:02:10:11:15:21,353.96,-623.79,-1473.57,0.113
25:02:10:11:15:21,593.86,-603.43,-1552.73,0.59
25:02:10:11:15:25,634.82,-662.72,-1580.62,0.562
25:02:10:11:15:29,617.44,-619.11,-1564.67,0.434
25:02:10:11:15:30,694.18,-582.17,-1653.65,0.717
25:02:10:11:15:32,626.64,-534.02,-1628.31,0.543
25:02:10:11:15:33,784.07,-701.32,-1683.16,0.933
25:02:10:11:15:33,784.07,-701.32,-1683.16,0.933
25:02:10:11:15:33,639.15,-540.46,-1617.78,0.627
25:02:10:11:15:34,627.19,-561.71,-1571.31,0.555
25:02:10:11:15:38,700.94,-575.68,-1647.09,0.822
25:02:10:11:15:38,593.53,-455.71,-1593.02,0.591
25:02:10:11:15:39,625.01,-553.51,-1579.03,0.583
25:02:10:11:15:40,624.48,-606.63,-1573.77,0.583
25:02:10:11:15:42,620.85,-588.4,-1572.57,0.557
25:02:10:11:15:42,637.39,-601.86,-1565.08,0.734
25:02:10:11:15:43,765.89,-665.9,-1639.64,0.812
25:02:10:11:15:43,765.89,-665.9,-1639.64,0.711
25:02:10:11:15:45,614.18,-551.64,-1517.34,0.432
25:02:10:11:15:47,621.57,-567.32,-1609.1,0.52
25:02:10:11:15:48,636.99,-589.61,-1510.64,0.463
25:02:10:11:15:53,616.27,-511.56,-1602.29,0.521
25:02:10:11:15:54,634.52,-587.35,-1604.91,0.486
25:02:10:11:15:54,637.43,-644.41,-1539.56,0.481
25:02:10:11:15:57,625.71,-590.14,-1597.11,0.531
25:02:10:11:15:57,661.2,-551.24,-1690.14,0.719
25:02:10:11:16:07,628.54,-573.99,-1582.85,0.566
25:02:10:11:16:09,588.31,-618.18,-1585.56,0.58
25:02:10:11:16:13,626.5,-615.55,-1549.24,0.535
25:02:10:11:16:26,613.33,-552.31,-1565.96,0.686
25:02:10:11:16:31,663.98,-540.78,-1676.43,0.692
25:02:10:11:16:38,645.43,-567.26,-1591.49,0.8
25:02:10:11:16:53,640.94,-630.46,-1562.59,0.514
25:02:10:11:16:54,640.68,-536.37,-1580.49,0.901
25:02:10:11:17:03,638.91,-572.58,-1593.88,0.536
25:02:10:11:17:11,631.8,-598.84,-1584.89,0.574
25:02:10:11:17:12,664.76,-626.93,-1670.66,0.657
25:02:10:11:17:36,613.49,-540.97,-1557.55,0.534
25:02:10:11:17:40,668.37,-587.15,-1588.82,0.692
25:02:10:11:17:40,654.76,-565.8,-1551.29,0.614
25:02:10:11:17:42,628.95,-541.18,-1609.26,0.565
25:02:10:11:17:42,597.56,-538.55,-1548.4,0.468
25:02:10:11:17:42,730.56,-625.68,-1590.14,0.733
25:02:10:11:17:50,620.43,-619.43,-1578.06,0.451
25:02:10:11:17:56,726.48,-606.42,-1596.62,0.763
25:02:10:11:18:12,632.6,-545.41,-1583.82,0.554
25:02:10:11:18:13,602.17,-623.21,-1553.05,0.721
25:02:10:11:18:16,624.18,-556.99,-1627.09,0.524
25:02:10:11:18:17,975.9,-549.89,-1600.08,1.35
25:02:10:11:18:17,975.9,-549.89,-1600.08,1.35
25:02:10:11:18:17,623.78,-532.34,-1601.82,0.57
25:02:10:11:18:18,597.55,-656.28,-1555.99,0.346
25:02:10:11:18:19,661.2,-668.73,-1584.49,0.745
25:02:10:11:18:25,446.75,-613.32,-1513.23,0.581
25:02:10:11:18:25,446.75,-613.32,-1513.23,0.948
25:02:10:11:18:31,748.91,-701.84,-1551.46,0.985
25:02:10:11:18:31,748.91,-701.84,-1551.46,0.985
25:02:10:11:18:31,748.91,-701.84,-1551.46,0.985
25:02:10:11:18:37,723.15,-692.27,-1613.09,0.712
25:02:10:11:18:41,736.87,-704.9,-1616.52,0.792
25:02:10:11:18:41,736.87,-704.9,-1616.52,0.781
25:02:10:11:18:47,602.61,-638.57,-1555.01,0.618
25:02:10:11:18:52,655.49,-534.9,-1635.84,0.701
25:02:10:11:18:58,722.96,-621.4,-1651.09,0.822
25:02:10:11:18:59,763.9,-627.13,-1566.01,0.801
25:02:10:11:18:59,763.9,-627.13,-1566.01,0.767
25:02:10:11:19:01,775.88,-648.3,-1560.92,0.807
25:02:10:11:19:01,775.88,-648.3,-1560.92,0.807
25:02:10:11:19:03,425.75,-613.08,-1528.73,0.175
25:02:10:11:19:05,674.83,-575.26,-1593.72,0.652
25:02:10:11:19:07,580.04,-560.2,-1563.29,0.473
25:02:10:11:19:08,641.18,-623.15,-1560,0.462
25:02:10:11:19:11,782.82,-703.54,-1636.17,0.878
25:02:10:11:19:11,782.82,-703.54,-1636.17,0.614
25:02:10:11:19:23,947.12,-714.95,-1740.87,1.403
25:02:10:11:19:23,947.12,-714.95,-1740.87,1.403
25:02:10:11:19:27,821.85,-805.19,-1408.59,0.868
25:02:10:11:19:34,629.45,-583.14,-1589.52,0.622
25:02:10:11:19:45,598.72,-602.6,-1559.86,0.44
25:02:10:11:19:50,625.46,-658.29,-1687.36,0.682
25:02:10:11:19:50,754.76,-688.73,-1599.35,0.853
25:02:10:11:19:50,754.76,-688.73,-1599.35,0.841
25:02:10:11:19:52,624.41,-564.29,-1539.38,0.453
25:02:10:11:19:53,1006.99,-636.88,-1525.77,1.304
25:02:10:11:19:53,1006.99,-636.88,-1525.77,1.304
25:02:10:11:19:56,670.91,-584.11,-1574.49,0.675
25:02:10:11:19:59,796.64,-624.44,-1649.53,0.921
25:02:10:11:19:59,796.64,-624.44,-1649.53,0.651
25:02:10:11:20:01,630.78,-598.63,-1559.73,0.553
25:02:10:11:20:03,785.34,-715.75,-1726.3,1.012
25:02:10:11:20:03,785.34,-715.75,-1726.3,1.012
25:02:10:11:20:05,598.71,-607.7,-1555.76,0.421
25:02:10:11:20:07,758.78,-712.69,-1738.62,0.953
25:02:10:11:20:07,758.78,-712.69,-1738.62,0.953
25:02:10:11:20:08,689.33,-638.07,-1588.62,0.741
25:02:10:11:20:10,727.38,-660.04,-1626.19,0.731
25:02:10:11:20:10,727.38,-660.04,-1626.19,0.731
25:02:10:11:20:11,614.37,-569.06,-1674.09,0.576
25:02:10:11:20:11,624.76,-588.25,-1657.34,0.677
25:02:10:11:20:12,729.45,-628.82,-1582.17,0.734
25:02:10:11:20:13,625.42,-563.08,-1546.43,0.665
25:02:10:11:20:14,839.75,-597.14,-1713.12,1.196
25:02:10:11:20:14,839.75,-597.14,-1713.12,1.196
25:02:10:11:20:16,634.05,-488.64,-1578.15,0.55
25:02:10:11:20:16,761.09,-682.73,-1626.1,0.789
25:02:10:11:20:16,761.09,-682.73,-1626.1,0.789
25:02:10:11:20:17,744.2,-718.79,-1558.01,0.693
25:02:10:11:20:17,589.97,-510.78,-1568.89,0.441
25:02:10:11:20:20,978.82,-486.78,-1597.76,1.336
25:02:10:11:20:20,978.82,-486.78,-1597.76,1.336
25:02:10:11:20:25,765.82,-686.83,-1725.9,0.909
